complaint_text,department,sentiment
No water supply in our area since morning,Water,Critical
Water pipeline broken near market,Water,Critical
Dirty muddy water coming from taps,Water,Critical
Low water pressure in building,Water,Negative
Water leakage wasting huge amount of water,Water,Negative
No drinking water in locality,Water,Critical
Water tank not cleaned for months,Water,Negative
Sewage mixed with drinking water,Water,Critical
Water supply stopped without notice,Water,Negative
Broken water pipe near school,Water,Critical
Water overflowing from public tank,Water,Negative
Tap water smells very bad,Water,Critical
No water for last three days,Water,Critical
Water supply timing too short,Water,Negative
Rusty water coming from tap,Water,Negative
Water not reaching upper floors,Water,Negative
Water valve damaged near society,Water,Critical
Pipeline leakage causing road flooding,Water,Critical
Water contamination issue in locality,Water,Critical
Drinking water tastes salty,Water,Negative
Water tanker not arriving on time,Water,Negative
Water supply interrupted daily,Water,Negative
Dirty water causing health issues,Water,Critical
Public water tap not working,Water,Negative
Underground water pipe burst,Water,Critical
Insufficient water in residential area,Water,Negative
Water meter damaged,Water,Neutral
Frequent water shortage in society,Water,Negative
Water pipe repair pending for weeks,Water,Negative
Tap connection leaking badly,Water,Negative
No water in school washrooms,Water,Critical
Water storage tank overflowing,Water,Negative
Water supply delayed every day,Water,Negative
Water pressure suddenly drops,Water,Negative
Brown colored water coming from tap,Water,Critical
Water contamination after rainfall,Water,Critical
Drinking water unavailable in park,Water,Neutral
Water department ignoring complaints,Water,Negative
Broken public water tap near station,Water,Negative
Water leakage near hospital,Water,Critical
No clean water in slum area,Water,Critical
Water supply unavailable at night,Water,Negative
Water issue unresolved for months,Water,Negative
Dirty tap water causing stomach problems,Water,Critical
Public water tank damaged,Water,Negative
Water pipeline repair incomplete,Water,Negative
Irregular water supply timings,Water,Negative
Drinking water shortage near market,Water,Critical
Water wastage due to broken valve,Water,Negative
No emergency water tanker provided,Water,Critical
No water supply in our area since morning,Water,Critical
Dirty water coming from tap near market,Water,Critical
Water pipeline broken near school,Water,Critical
No drinking water for last three days,Water,Critical
Water leakage causing huge wastage,Water,Critical
Sewage water mixing with drinking water,Water,Critical
No water in society during summer,Water,Critical
Contaminated water causing illness,Water,Critical
Underground water pipe burst near road,Water,Critical
No clean water near hospital area,Water,Critical
Water supply stopped suddenly,Water,Critical
Water tank not cleaned for months,Water,Critical
No emergency water tanker provided,Water,Critical
Brown dirty water coming from taps,Water,Critical
Water shortage affecting school washrooms,Water,Critical
Water issue unresolved for weeks,Water,Critical
Public water tap broken near station,Water,Critical
Drinking water unavailable near market,Water,Critical
Water contamination after rainfall,Water,Critical
Pipeline damage stopping supply,Water,Critical
Low water pressure in building,Water,Negative
Water supply timing too short,Water,Negative
Water leakage near society gate,Water,Negative
Irregular water supply every day,Water,Negative
Tap water smells strange,Water,Negative
Water department ignoring complaints,Water,Negative
Water not reaching upper floors,Water,Negative
Water tanker arriving late,Water,Negative
Poor water pressure near market,Water,Negative
Tap leaking continuously,Water,Negative
Water pipe repair delayed,Water,Negative
Water storage tank overflowing,Water,Negative
